Commune;Classement
ANTIBES;Mer
BEAULIEU-SUR-MER;Mer
CAGNES-SUR-MER;Mer
CANNES;Mer
CAP-D'AIL;Mer
EZE;Mer
MANDELIEU-LA-NAPOULE;Mer
MENTON;Mer
NICE;Mer
ROQUEBRUNE-CAP-MARTIN;Mer
SAINT-JEAN-CAP-FERRAT;Mer
SAINT-LAURENT-DU-VAR;Mer
THEOULE-SUR-MER;Mer
VALLAURIS;Mer
VILLEFRANCHE-SUR-MER;Mer
VILLENEUVE-LOUBET;Mer
BAGES;Mer
FITOU;Mer
FLEURY;Mer
GRUISSAN;Mer
LA PALME;Mer
LEUCATE;Mer
NARBONNE;Mer
PORT-LA-NOUVELLE;Mer
PEYRIAC-DE-MER;Mer
SIGEAN;Mer
ARLES;Mer
BERRE-L'ETANG;Mer
CARRY-LE-ROUET;Mer
CASSIS;Mer
CHATEAUNEUF-LES-MARTIGUES;Mer
LA CIOTAT;Mer
ENSUES-LA-REDONNE;Mer
FOS-SUR-MER;Mer
ISTRES;Mer
MARIGNANE;Mer
MARSEILLE;Mer
MARTIGUES;Mer
MIRAMAS;Mer
PORT-DE-BOUC;Mer
PORT-SAINT-LOUIS-DU-RHïNE;Mer
ROGNAC;Mer
LE ROVE;Mer
SAINT-CHAMAS;Mer
SAINTES-MARIES-DE-LA-MER;Mer
SAINT-MITRE-LES-REMPARTS;Mer
SAUSSET-LES-PINS;Mer
VITROLLES;Mer
ABLON;Mer
AMFREVILLE;Mer
ARROMANCHES-LES-BAINS;Mer
ASNELLES;Mer
AUBERVILLE;Mer
BENERVILLE-SUR-MER;Mer
BERNIERES-SUR-MER;Mer
BLONVILLE-SUR-MER;Mer
CABOURG;Mer
COLLEVILLE-SUR-MER;Mer
COLLEVILLE-MONTGOMERY;Mer
COMMES;Mer
COURSEULLES-SUR-MER;Mer
CRICQUEBOEUF;Mer
CRICQUEVILLE-EN-BESSIN;Mer
DEAUVILLE;Mer
DIVES-SUR-MER;Mer
ENGLESQUEVILLE-LA-PERCEE;Mer
GEFOSSE-FONTENAY;Mer
GONNEVILLE-SUR-MER;Mer
GRANDCAMP-MAISY;Mer
GRAYE-SUR-MER;Mer
HERMANVILLE-SUR-MER;Mer
HONFLEUR;Mer
HOULGATE;Mer
LANGRUNE-SUR-MER;Mer
LION-SUR-MER;Mer
LONGUES-SUR-MER;Mer
LOUVIERES;Mer
LUC-SUR-MER;Mer
MANVIEUX;Mer
MERVILLE-FRANCEVILLE-PLAGE;Mer
MEUVAINES;Mer
OUISTREHAM;Mer
PENNEDEPIE;Mer
PORT-EN-BESSIN-HUPPAIN;Mer
RANVILLE;Mer
LA RIVIERE-SAINT-SAUVEUR;Mer
SAINT-AUBIN-SUR-MER;Mer
SAINT-CïME-DE-FRESNE;Mer
SAINTE-HONORINE-DES-PERTES;Mer
SAINT-LAURENT-SUR-MER;Mer
SAINT-PIERRE-DU-MONT;Mer
SALLENELLES;Mer
TOURGEVILLE;Mer
TRACY-SUR-MER;Mer
TROUVILLE-SUR-MER;Mer
VARAVILLE;Mer
VER-SUR-MER;Mer
VIERVILLE-SUR-MER;Mer
VILLERS-SUR-MER;Mer
VILLERVILLE;Mer
FORMIGNY LA BATAILLE;Mer
AURE SUR MER;Mer
ILE-D'AIX;Mer
ANGOULINS;Mer
ARS-EN-RE;Mer
ARVERT;Mer
AYTRE;Mer
LE BOIS-PLAGE-EN-RE;Mer
BOURCEFRANC-LE-CHAPUS;Mer
BREUILLET;Mer
CHAILLEVETTE;Mer
CHARRON;Mer
LE CHATEAU-D'OLERON;Mer
CHATELAILLON-PLAGE;Mer
LA COUARDE-SUR-MER;Mer
DOLUS-D'OLERON;Mer
L'EGUILLE;Mer
ESNANDES;Mer
ETAULES;Mer
LA FLOTTE;Mer
FOURAS;Mer
LE GUA;Mer
HIERS-BROUAGE;Mer
L'HOUMEAU;Mer
LOIX;Mer
MARENNES;Mer
MARSILLY;Mer
LES MATHES;Mer
MOèZE;Mer
MORNAC-SUR-SEUDRE;Mer
NIEUL-SUR-MER;Mer
NIEULLE-SUR-SEUDRE;Mer
LES PORTES-EN-RE;Mer
RIVEDOUX-PLAGE;Mer
LA ROCHELLE;Mer
ROYAN;Mer
SAINT-CLEMENT-DES-BALEINES;Mer
SAINT-DENIS-D'OLERON;Mer
SAINT-FROULT;Mer
SAINT-GEORGES-DE-DIDONNE;Mer
SAINT-GEORGES-D'OLERON;Mer
SAINT-JUST-LUZAC;Mer
SAINTE-MARIE-DE-RE;Mer
SAINT-MARTIN-DE-RE;Mer
SAINT-PALAIS-SUR-MER;Mer
SAINT-PIERRE-D'OLERON;Mer
SAINT-SULPICE-DE-ROYAN;Mer
