,Code postal,Commune,Type local,loyer,Population totale,SNHMO18,SNHMFO18
32078,10160,RIGNY LE FERRON,Maison,7.588262778,346.0,10.98486462,9.693810716
32079,10300,SAINTE SAVINE,Appartement,9.436088996,10818.0,10.98486462,9.693810716
32080,10160,AIX-VILLEMAUR-PALIS,Maison,6.792094388,3585.0,10.98486462,9.693810716
32081,10120,SAINT ANDRE LES VERGERS,Maison,9.085727577,12768.0,10.98486462,9.693810716
32082,10260,COURTENOT,Maison,7.517213395,239.0,10.98486462,9.693810716
32083,10260,VIREY SOUS BAR,Maison,5.976415105,623.0,10.98486462,9.693810716
32084,10160,BERULLE,Maison,7.588262778,224.0,10.98486462,9.693810716
32085,10120,SAINT ANDRE LES VERGERS,Appartement,10.33385402,12768.0,10.98486462,9.693810716
32086,10390,VERRIERES,Maison,7.517213395,1897.0,10.98486462,9.693810716
32087,10000,TROYES,Appartement,10.24604497,63124.0,10.98486462,9.693810716
32088,10800,SAINT JULIEN LES VILLAS,Maison,8.594551651,6946.0,10.98486462,9.693810716
32090,10430,ROSIERES PRES TROYES,Maison,8.893777554,4760.0,10.98486462,9.693810716
32092,10430,ROSIERES PRES TROYES,Appartement,10.84536331,4760.0,10.98486462,9.693810716
32094,10260,SAINT PARRES LES VAUDES,Maison,7.517213395,1040.0,10.98486462,9.693810716
32095,10400,LA LOUPTIERE-THENARD,Maison,7.588262778,301.0,10.98486462,9.693810716
32098,10400,COURCEROY,Maison,7.418657217,136.0,10.98486462,9.693810716
32099,10450,BREVIANDES,Appartement,10.23453186,2893.0,10.98486462,9.693810716
32100,10360,CUNFIN,Maison,5.238666886,178.0,10.98486462,9.693810716
32102,10260,VILLEMOYENNE,Maison,7.517213395,780.0,10.98486462,9.693810716
32105,10800,SAINT JULIEN LES VILLAS,Appartement,10.28546525,6946.0,10.98486462,9.693810716
32106,10000,TROYES,Maison,8.717837754,63124.0,10.98486462,9.693810716
32108,10270,MONTAULIN,Maison,7.517213395,834.0,10.98486462,9.693810716
32109,10700,CHAMPIGNY SUR AUBE,Maison,6.05409912,110.0,10.98486462,9.693810716
32110,10700,ARCIS SUR AUBE,Maison,6.646381806,2923.0,10.98486462,9.693810716
32112,10280,RILLY SAINTE SYRE,Maison,6.340490469,240.0,10.98486462,9.693810716
32118,10220,ASSENCIERES,Maison,6.213621711,177.0,10.98486462,9.693810716
32119,10300,SAINTE SAVINE,Maison,8.793298549,10818.0,10.98486462,9.693810716
32120,10600,LA CHAPELLE ST LUC,Appartement,7.622758591,12006.0,10.98486462,9.693810716
32122,10600,BARBEREY SAINT SULPICE,Appartement,9.200762394,1522.0,10.98486462,9.693810716
32123,10100,ROMILLY SUR SEINE,Maison,7.088847587,14643.0,10.98486462,9.693810716
32128,10400,NOGENT SUR SEINE,Maison,7.418657217,6105.0,10.98486462,9.693810716
32129,10400,LA SAULSOTTE,Maison,7.418657217,705.0,10.98486462,9.693810716
32130,10210,VILLIERS SOUS PRASLIN,Maison,5.653753788,71.0,10.98486462,9.693810716
32132,10420,LES NOES PRES TROYES,Maison,8.893777554,3316.0,10.98486462,9.693810716
32136,10510,CHATRES,Maison,6.799559219,718.0,10.98486462,9.693810716
32140,10600,SAVIERES,Maison,6.799559219,1015.0,10.98486462,9.693810716
32142,10260,VAUDES,Maison,7.517213395,721.0,10.98486462,9.693810716
32143,10190,AIX-VILLEMAUR-PALIS,Maison,6.792094388,3585.0,10.98486462,9.693810716
32147,10320,SAINT JEAN DE BONNEVAL,Maison,6.979485954,405.0,10.98486462,9.693810716
32150,10440,LA RIVIERE DE CORPS,Maison,9.015201298,3565.0,10.98486462,9.693810716
32152,10370,VILLENAUXE-LA-GRANDE,Maison,6.340490469,2757.0,10.98486462,9.693810716
32155,10220,PINEY,Maison,6.213621711,1494.0,10.98486462,9.693810716
32156,10120,SAINT GERMAIN,Maison,7.517213395,2338.0,10.98486462,9.693810716
32159,10800,VILLY LE BOIS,Maison,7.517213395,56.0,10.98486462,9.693810716
32169,10410,SAINT PARRES AUX TERTRES,Maison,7.517213395,3184.0,10.98486462,9.693810716
32170,10170,ETRELLES SUR AUBE,Maison,6.799559219,158.0,10.98486462,9.693810716
32171,10240,AULNAY,Maison,6.892734505,132.0,10.98486462,9.693810716
32173,10200,BAROVILLE,Maison,5.524899844,314.0,10.98486462,9.693810716
32175,10500,DIENVILLE,Maison,5.524899844,892.0,10.98486462,9.693810716
32176,10200,BAR SUR AUBE,Maison,5.926835288,5027.0,10.98486462,9.693810716
32178,10600,LA CHAPELLE ST LUC,Maison,8.893777554,12006.0,10.98486462,9.693810716
32188,10380,VIAPRES LE PETIT,Maison,6.340490469,135.0,10.98486462,9.693810716
32189,10700,TORCY LE GRAND,Maison,6.05409912,462.0,10.98486462,9.693810716
32190,10150,MONTSUZAIN,Maison,6.340490469,413.0,10.98486462,9.693810716
32195,10150,LAVAU,Maison,7.517213395,940.0,10.98486462,9.693810716
32200,10450,BREVIANDES,Maison,8.273538659,2893.0,10.98486462,9.693810716
32205,10400,SOLIGNY LES ETANGS,Maison,7.588262778,248.0,10.98486462,9.693810716
32210,10120,LAINES AUX BOIS,Maison,6.979485954,540.0,10.98486462,9.693810716
32215,10390,CLEREY,Maison,7.517213395,1134.0,10.98486462,9.693810716
32216,10100,SAINT MARTIN DE BOSSENAY,Maison,6.799559219,373.0,10.98486462,9.693810716
32219,10170,SAINT OULPH,Maison,6.799559219,301.0,10.98486462,9.693810716
32225,10180,SAINT LYE,Maison,6.799559219,2962.0,10.98486462,9.693810716
32226,10210,LAGESSE,Maison,5.653753788,211.0,10.98486462,9.693810716
32227,10400,FONTAINE MACON,Maison,7.588262778,650.0,10.98486462,9.693810716
32233,10270,MONTREUIL SUR BARSE,Maison,7.517213395,299.0,10.98486462,9.693810716
32234,10320,FAYS LA CHAPELLE,Maison,6.979485954,130.0,10.98486462,9.693810716
32241,10400,TRAINEL,Maison,7.588262778,1063.0,10.98486462,9.693810716
32246,10170,CHAUCHIGNY,Maison,6.799559219,239.0,10.98486462,9.693810716
32250,10250,MUSSY SUR SEINE,Maison,6.087021227,1034.0,10.98486462,9.693810716
32254,10320,CRESANTIGNES,Maison,6.979485954,318.0,10.98486462,9.693810716
32259,10800,ISLE AUMONT,Appartement,6.537277543,474.0,10.98486462,9.693810716
32261,10800,LA VENDUE MIGNOT,Maison,7.517213395,253.0,10.98486462,9.693810716
32267,10150,CRENEY PRES TROYES,Maison,7.517213395,1947.0,10.98486462,9.693810716
32268,10100,CRANCEY,Maison,6.340490469,722.0,10.98486462,9.693810716
32271,10400,GUMERY,Maison,7.588262778,230.0,10.98486462,9.693810716
32275,10160,VILLEMOIRON EN OTHE,Maison,6.979485954,207.0,10.98486462,9.693810716
32278,10400,LA VILLENEUVE AU CHATELOT,Maison,6.340490469,151.0,10.98486462,9.693810716
32284,10190,ESTISSAC,Maison,7.083255591,1859.0,10.98486462,9.693810716
32287,10600,PAYNS,Maison,6.340490469,1388.0,10.98486462,9.693810716
32300,10600,VILLACERF,Maison,6.340490469,602.0,10.98486462,9.693810716
32301,10190,BERCENAY EN OTHE,Maison,6.979485954,473.0,10.98486462,9.693810716
32302,10100,SAINT LOUP DE BUFFIGNY,Maison,6.792094388,216.0,10.98486462,9.693810716
32307,10250,GYE SUR SEINE,Maison,5.238666886,502.0,10.98486462,9.693810716
32308,10160,MARAYE EN OTHE,Maison,6.979485954,449.0,10.98486462,9.693810716
32309,10600,BARBEREY SAINT SULPICE,Maison,6.979485954,1522.0,10.98486462,9.693810716
32311,10500,SAINT LEGER SOUS BRIENNE,Maison,6.285561876,395.0,10.98486462,9.693810716
32320,10280,FONTAINE LES GRES,Maison,6.799559219,892.0,10.98486462,9.693810716
32321,10150,PONTSAINTE MARIE,Maison,7.517213395,5253.0,10.98486462,9.693810716
32337,10800,CORMOST,Maison,7.517213395,308.0,10.98486462,9.693810716
32339,10300,MACEY,Maison,6.979485954,980.0,10.98486462,9.693810716
32345,10280,SAINT MESMIN,Maison,6.799559219,875.0,10.98486462,9.693810716
32351,10150,VOUE,Maison,6.05409912,697.0,10.98486462,9.693810716
32353,10150,SAINTE MAURE,Maison,6.979485954,1973.0,10.98486462,9.693810716
32362,10440,TORVILLIERS,Maison,6.979485954,993.0,10.98486462,9.693810716
32375,10150,PONTSAINTE MARIE,Appartement,9.769930134,5253.0,10.98486462,9.693810716
32380,10260,FOUCHERES,Maison,7.517213395,550.0,10.98486462,9.693810716
32386,10330,SAINT LEGER SOUS MARGERIE,Maison,6.35258693,57.0,10.98486462,9.693810716
32402,10150,AUBETERRE,Maison,6.979485954,376.0,10.98486462,9.693810716
32404,10320,BOUILLY,Maison,6.979485954,1140.0,10.98486462,9.693810716
32414,10800,BUCHERES,Maison,7.517213395,1791.0,10.98486462,9.693810716
32415,10230,MAILLY LE CAMP,Maison,7.094628821,1854.0,10.98486462,9.693810716
32418,10220,ROUILLY SACEY,Maison,6.213621711,389.0,10.98486462,9.693810716
32421,10320,VILLERY,Maison,6.979485954,276.0,10.98486462,9.693810716
32422,10170,MERY SUR SEINE,Maison,6.799559219,1571.0,10.98486462,9.693810716
32435,10400,LE MERIOT,Maison,7.418657217,630.0,10.98486462,9.693810716
32436,10200,BAR SUR AUBE,Appartement,6.243264063,5027.0,10.98486462,9.693810716
32469,10310,BAYEL,Maison,5.926835288,760.0,10.98486462,9.693810716
32480,10510,MAIZIERES LA GRANDE PAROISSE,Maison,6.799559219,1535.0,10.98486462,9.693810716
32481,10800,MOUSSEY,Maison,7.517213395,657.0,10.98486462,9.693810716
32487,10800,ISLE AUMONT,Maison,7.517213395,474.0,10.98486462,9.693810716
32492,10130,ERVY LE CHATEL,Maison,5.653753788,1176.0,10.98486462,9.693810716
32505,10500,BRIENNE LE CHATEAU,Maison,5.988712044,2810.0,10.98486462,9.693810716
32510,10210,BALNOT LA GRANGE,Maison,5.653753788,120.0,10.98486462,9.693810716
32529,10800,LES BORDES AUMONT,Maison,7.517213395,546.0,10.98486462,9.693810716
32546,10100,LA FOSSE CORDUAN,Maison,6.792094388,225.0,10.98486462,9.693810716
32548,10400,PONT SUR SEINE,Maison,6.792094388,1181.0,10.98486462,9.693810716
32551,10400,MONTPOTHIER,Maison,7.418657217,336.0,10.98486462,9.693810716
32558,10190,FONTVANNES,Maison,6.979485954,719.0,10.98486462,9.693810716
