lon_2,lat_2,Type local,Prix m2
-5.11,48.46,Maison,2916.6666666666665
-5.1,48.46,Maison,3333.333333333333
-5.09,48.46,Maison,5000.0
-5.08,48.45,Maison,2857.1428571428573
-4.77,48.36,Appartement,2676.470588235294
-4.77,48.36,Maison,2282.978723404255
-4.76,48.36,Appartement,1710.44776119403
-4.76,48.45,Appartement,1133.3333333333333
-4.76,48.45,Maison,1418.1818181818182
-4.75,48.51,Maison,1168.8311688311687
-4.75,48.52,Maison,1470.5882352941176
-4.73,48.43,Maison,1457.142857142857
-4.72,48.4,Maison,1723.404255319149
-4.71,48.35,Appartement,1576.5765765765766
-4.71,48.48,Maison,1929.8245614035088
-4.7,48.56,Maison,2173.913043478261
-4.7,48.57,Maison,1430.817610062893
-4.68,48.36,Maison,1271.9298245614036
-4.66,48.05,Maison,1290.7407407407406
-4.66,48.36,Maison,1777.7777777777778
-4.66,48.56,Maison,1993.5294117647056
-4.65,48.04,Maison,1923.076923076923
-4.63,48.03,Maison,2247.191011235955
-4.63,48.42,Maison,1381.679389312977
-4.63,48.43,Maison,1908.3333333333333
-4.62,48.06,Maison,1265.822784810127
-4.62,48.38,Maison,1741.573033707865
-4.62,48.43,Appartement,1925.3731343283584
-4.62,48.43,Maison,2102.2727272727275
-4.62,48.56,Maison,2166.6666666666665
-4.62,48.57,Maison,1353.7790909090909
-4.6,48.28,Appartement,1662.162162162162
-4.6,48.28,Maison,1490.7407407407406
-4.59,48.36,Maison,1562.5
-4.59,48.37,Appartement,2462.878787878788
-4.58,48.37,Maison,1528.335301062574
-4.57,48.37,Maison,1289.2156862745098
-4.57,48.43,Maison,2077.2755308837786
-4.57,48.46,Maison,1827.235772357724
-4.57,48.47,Maison,1959.7368421052633
-4.56,48.42,Appartement,2170.454545454545
-4.56,48.42,Maison,1992.957746478873
-4.56,48.43,Maison,1573.3333333333333
-4.56,48.46,Maison,1875.0
-4.56,48.47,Maison,1892.946342249436
-4.56,48.57,Maison,1520.3252032520325
-4.56,48.59,Maison,2121.212121212121
-4.55,48.02,Maison,1205.673758865248
-4.55,48.27,Maison,3000.0
-4.55,48.31,Maison,1472.4880952380952
